,name,cr,ac,hp,init,att_num,hit_mod,dam_avg,type,match_wins,round_wins,calc_wins
65,Party 3,3.0,18,112,0,4,5,7,party of 4 fighters,17.0,1797.0,29.0
66,Party 4,4.0,18,144,0,4,5,7,party of 4 fighters,21.0,2112.0,30.0
67,Party 5,5.0,18,176,0,8,6,7,party of 4 fighters,32.0,3234.0,39.0
68,Party 6,6.0,19,212,0,8,7,8,party of 4 fighters,40.0,3988.0,50.0
69,Party 7,7.0,19,248,0,8,7,8,party of 4 fighters,42.0,4273.0,49.0
70,Party 8,8.0,19,284,0,8,7,8,party of 4 fighters,45.0,4565.0,49.0
71,Party 9,9.0,19,320,0,8,8,8,party of 4 fighters,50.0,4981.0,50.0
72,Party 10,10.0,19,356,0,8,8,8,party of 4 fighters,54.0,5248.0,49.0
73,Party 11,11.0,20,392,0,12,8,8,party of 4 fighters,60.0,6079.0,49.0
74,Party 12,12.0,20,428,0,12,8,8,party of 4 fighters,62.0,6227.0,48.0
75,Party 13,13.0,20,464,0,12,9,8,party of 4 fighters,66.0,6552.0,47.0
76,Party 14,14.0,20,504,0,12,9,9,party of 4 fighters,69.0,6914.0,48.0
77,Party 15,15.0,20,544,0,12,9,9,party of 4 fighters,70.0,7093.0,47.0
78,Party 16,16.0,20,584,0,12,9,9,party of 4 fighters,73.0,7225.0,47.0
79,Party 17,17.0,20,624,0,12,10,9,party of 4 fighters,75.0,7582.0,47.0
80,Party 18,18.0,20,664,0,12,10,9,party of 4 fighters,77.0,7685.0,46.0
81,Party 19,19.0,20,704,0,12,10,9,party of 4 fighters,79.0,7804.0,46.0
82,Party 20,20.0,20,744,0,16,10,9,party of 4 fighters,83.0,8377.0,46.0
83,Wizards 1,1.0,12,24,0,4,5,5,party of 4 wizards,3.0,285.0,4.0
84,Wizards 2,2.0,12,40,0,4,5,5,party of 4 wizards,6.0,528.0,4.0
85,Wizards 3,3.0,12,56,0,4,5,5,party of 4 wizards,7.0,701.0,6.0
86,Wizards 4,4.0,12,72,0,4,5,5,party of 4 wizards,9.0,841.0,6.0
87,Wizards 5,5.0,12,88,0,4,6,9,party of 4 wizards,13.0,1325.0,12.0
88,Wizards 6,6.0,12,104,0,4,6,9,party of 4 wizards,16.0,1502.0,14.0
89,Wizards 7,7.0,12,124,0,4,7,9,party of 4 wizards,18.0,1769.0,16.0
90,Wizards 8,8.0,12,144,0,4,7,9,party of 4 wizards,20.0,1974.0,16.0
91,Wizards 9,9.0,12,164,0,4,8,9,party of 4 wizards,22.0,2254.0,18.0
92,Wizards 10,10.0,12,184,0,4,8,9,party of 4 wizards,25.0,2407.0,19.0
93,Wizards 11,11.0,12,204,0,4,8,13,party of 4 wizards,27.0,2806.0,19.0
94,Wizards 12,12.0,12,224,0,4,8,13,party of 4 wizards,28.0,2916.0,18.0
95,Wizards 13,13.0,12,244,0,4,9,13,party of 4 wizards,31.0,3154.0,18.0
96,Wizards 14,14.0,12,264,0,4,9,13,party of 4 wizards,34.0,3343.0,18.0
97,Wizards 15,15.0,12,284,0,4,9,13,party of 4 wizards,35.0,3427.0,17.0
98,Wizards 16,16.0,12,308,0,4,10,13,party of 4 wizards,37.0,3713.0,17.0
99,Wizards 17,17.0,12,332,0,4,11,17,party of 4 wizards,43.0,4368.0,21.0
100,Wizards 18,18.0,12,356,0,4,11,17,party of 4 wizards,48.0,4679.0,20.0
101,Wizards 19,19.0,12,380,0,4,11,17,party of 4 wizards,48.0,4788.0,20.0
102,Wizards 20,20.0,12,404,0,4,11,17,party of 4 wizards,48.0,4889.0,20.0
