,name,cr,ac,hp,init,att_num,hit_mod,dam_avg,match_wins,round_wins,calc_wins
128,Giant Lizard,0.25,12,19,1.12,1,4,6,94.0,9350.0,91.0
129,Giant Octopus,1.0,11,52,1.13,1,5,10,170.0,17263.0,165.0
130,Giant Owl,0.25,12,19,2.15,1,3,8,106.0,10307.0,108.0
131,Giant Poisonous Snake,0.25,14,11,4.18,1,6,6,87.0,8725.0,85.0
132,Giant Rat,0.125,12,7,2.15,1,4,4,37.0,4227.0,41.0
133,Giant Rat (Diseased),0.125,12,7,2.15,1,4,3,35.0,3624.0,36.0
134,Giant Scorpion,3.0,15,52,1.13,3,4,6,215.0,21358.0,203.0
135,Giant Sea Horse,0.5,13,16,2.15,1,3,4,66.0,6843.0,73.0
136,Giant Shark,5.0,13,126,0.11,1,3,4,170.0,16900.0,177.0
137,Giant Spider,1.0,14,26,3.16,1,5,13,163.0,16409.0,167.0
138,Giant Toad,1.0,11,39,1.13,1,4,12,159.0,16064.0,156.0
139,Giant Vulture,1.0,10,22,0.1,2,4,6,128.0,12786.0,103.0
140,Giant Wasp,0.5,12,13,2.14,1,4,11,113.0,10920.0,105.0
141,Giant Weasel,0.125,13,9,3.16,1,5,5,57.0,6197.0,56.0
142,Giant Wolf Spider,0.25,13,11,3.16,1,3,8,85.0,8499.0,91.0
143,Gibbering Mouther,2.0,9,67,-1.8,1,4,7,152.0,15391.0,146.0
144,Glabrezu,9.0,17,157,2.15,2,4,7,255.0,25310.0,268.0
145,Gladiator,5.0,16,112,2.15,3,4,7,250.0,25057.0,261.0
146,Gnoll,0.5,15,22,1.12,1,4,5,107.0,10729.0,115.0
147,Goat,0.0,10,4,0.1,1,3,3,23.0,2466.0,25.0
148,Goblin,0.25,15,7,2.14,1,4,5,50.0,5697.0,57.0
149,Gold Dragon Wyrmling,3.0,17,60,2.14,1,6,9,209.0,20713.0,222.0
150,Gorgon,5.0,19,114,0.11,1,8,16,269.0,26711.0,294.0
151,Gray Ooze,0.5,8,22,-2.6,1,3,4,61.0,6416.0,61.0
152,Green Dragon Wyrmling,2.0,17,38,1.12,1,4,7,159.0,16104.0,190.0
153,Green Hag,3.0,17,82,1.12,1,6,13,234.0,23345.0,251.0
154,Grick,2.0,14,27,2.14,1,6,13,169.0,16858.0,164.0
155,Griffon,2.0,12,59,2.15,2,6,13,229.0,22955.0,212.0
156,Grimlock,0.25,11,11,1.12,1,5,5,59.0,6179.0,52.0
157,Guard,0.125,16,11,1.12,1,3,4,65.0,6855.0,80.0
158,Guardian Naga,10.0,18,127,4.18,1,8,8,242.0,24207.0,264.0
159,Gynosphinx,11.0,17,136,2.15,2,8,8,264.0,26611.0,265.0
160,Half-Red Dragon Veteran,5.0,18,65,1.13,2,8,8,243.0,24257.0,257.0
161,Harpy,1.0,11,38,1.13,2,8,8,197.0,19251.0,151.0
162,Hawk,0.0,13,1,3.16,1,5,1,11.0,993.0,9.0
163,Hell Hound,3.0,15,45,1.12,1,5,7,162.0,16277.0,169.0
164,Hezrou,8.0,16,136,3.17,3,5,7,262.0,26250.0,258.0
165,Hill Giant,5.0,13,105,-1.8,2,5,7,227.0,22721.0,214.0
166,Hippogriff,1.0,11,19,1.13,2,5,7,135.0,13504.0,117.0
167,Hobgoblin,0.5,18,11,1.12,1,3,5,86.0,8972.0,120.0
168,Homunculus,0.0,13,5,2.15,1,4,1,22.0,2323.0,21.0
169,Horned Devil,11.0,18,148,3.17,3,4,1,201.0,19922.0,206.0
170,Hunter Shark,2.0,12,45,1.13,1,6,13,189.0,18822.0,179.0
171,Hydra,8.0,15,172,1.12,5,8,10,292.0,29202.0,276.0
172,Hyena,0.0,11,5,1.13,1,6,13,69.0,7204.0,66.0
173,Ice Devil,14.0,18,180,2.14,3,10,11,292.0,29194.0,288.0
174,Ice Mephit,0.5,11,21,1.13,1,3,3,57.0,6081.0,57.0
175,Imp,1.0,13,10,3.17,1,5,5,65.0,6516.0,66.0
176,Invisible Stalker,6.0,14,104,4.19,2,5,5,218.0,21839.0,205.0
177,Iron Golem,16.0,20,210,-1.9,2,5,5,268.0,26656.0,287.0
178,Jackal,0.0,12,3,2.15,1,1,1,18.0,1574.0,17.0
179,Killer Whale,3.0,12,90,0.1,1,0,21,211.0,20771.0,234.0
180,Knight,3.0,18,52,0.11,2,0,21,233.0,23371.0,272.0
181,Kobold,0.125,12,5,2.15,1,4,4,35.0,3737.0,36.0
182,Kraken,23.0,18,472,0.11,3,4,4,281.0,28148.0,284.0
183,Lamia,4.0,13,97,1.13,2,4,4,203.0,19960.0,172.0
184,Lemure,0.0,7,13,-3.5,1,3,2,32.0,3264.0,30.0
185,Lich,21.0,17,135,3.16,1,12,10,259.0,25977.0,255.0
186,Lion,1.0,12,26,2.15,1,5,6,114.0,11371.0,110.0
187,Lizard,0.0,10,2,0.11,1,0,1,9.0,942.0,10.0
188,Lizardfolk,0.5,15,22,0.1,2,0,1,50.0,5120.0,55.0
189,Mage,6.0,12,40,2.14,1,5,4,114.0,11312.0,110.0
190,Magma Mephit,0.5,11,22,1.12,1,3,3,59.0,6288.0,59.0
191,Magmin,0.5,14,9,2.15,1,4,7,82.0,7779.0,81.0
192,Mammoth,6.0,13,126,-1.9,1,10,29,275.0,27364.0,260.0
193,Manticore,3.0,14,68,3.16,3,10,29,290.0,28766.0,262.0
194,Marilith,16.0,18,189,5.2,7,9,13,308.0,30783.0,288.0
195,Mastiff,0.125,12,5,2.14,1,3,4,33.0,3593.0,35.0
196,Medusa,6.0,15,127,2.15,3,3,4,229.0,22796.0,219.0
197,Merfolk,0.125,11,11,1.13,1,2,3,37.0,3928.0,41.0
198,Merrow,2.0,13,45,0.1,2,2,3,133.0,13192.0,126.0
199,Mimic,2.0,12,58,1.12,1,5,7,162.0,16283.0,154.0
200,Minotaur,3.0,14,76,0.11,1,6,13,220.0,21943.0,212.0
201,Minotaur Skeleton,2.0,12,67,0.11,1,6,13,211.0,20859.0,195.0
202,Mule,0.125,10,11,0.1,1,4,4,46.0,4865.0,43.0
203,Mummy,3.0,11,58,-1.8,1,4,4,126.0,12579.0,115.0
204,Mummy Lord,15.0,17,97,0.1,1,4,4,184.0,18283.0,205.0
205,Nalfeshnee,13.0,18,184,0.1,3,4,4,258.0,25701.0,262.0
206,Night Hag,5.0,17,112,2.15,1,7,13,249.0,24884.0,255.0
207,Nightmare,3.0,13,68,2.15,1,6,13,215.0,21319.0,204.0
208,Noble,0.125,15,9,1.12,1,3,5,59.0,6329.0,68.0
209,Ochre Jelly,2.0,8,45,-2.6,1,4,9,143.0,14196.0,132.0
210,Octopus,0.0,12,3,2.15,1,4,1,20.0,1801.0,16.0
211,Ogre,2.0,11,59,-1.8,1,6,11,187.0,18785.0,175.0
212,Ogre Zombie,2.0,8,85,-2.6,1,6,13,208.0,20718.0,190.0
213,Oni,7.0,16,110,0.11,2,6,13,265.0,26437.0,254.0
214,Orc,0.5,13,15,1.12,1,5,6,90.0,8941.0,86.0
215,Otyugh,5.0,14,114,0.11,3,5,6,244.0,24335.0,220.0
216,Owl,0.0,11,1,1.13,1,3,1,5.0,679.0,3.0
217,Owlbear,3.0,13,59,1.12,2,3,1,96.0,9669.0,74.0
218,Panther,0.25,12,13,2.15,1,4,4,57.0,6062.0,55.0
219,Pegasus,2.0,12,59,2.15,1,6,11,196.0,19321.0,183.0
220,Phase Spider,3.0,13,32,2.15,1,4,7,135.0,13183.0,139.0
221,Pit Fiend,20.0,19,300,2.14,4,14,20,316.0,31580.0,303.0
222,Planetar,16.0,19,200,5.2,2,4,7,268.0,26764.0,286.0
223,Plesiosaurus,2.0,13,68,2.15,1,6,14,216.0,21521.0,209.0
224,Poisonous Snake,0.125,13,2,3.16,1,5,1,16.0,1577.0,14.0
225,Polar Bear,2.0,12,42,0.1,2,5,1,86.0,8468.0,55.0
226,Pony,0.125,10,11,0.1,1,4,7,67.0,7024.0,61.0
227,Priest,2.0,13,27,0.1,1,2,3,76.0,7386.0,83.0
228,Pseudodragon,0.25,13,7,2.15,1,4,4,41.0,4431.0,41.0
229,Purple Worm,15.0,18,247,-2.7,2,4,4,254.0,25347.0,259.0
230,Quasit,1.0,13,7,3.17,1,4,5,47.0,5119.0,47.0
231,Quipper,0.0,13,1,3.16,1,5,1,9.0,980.0,8.0
232,Rakshasa,13.0,16,110,3.17,2,5,1,149.0,15052.0,135.0
233,Rat,0.0,10,1,0.11,1,0,1,1.0,461.0,1.0
234,Raven,0.0,12,1,2.14,1,0,1,3.0,603.0,5.0
235,Red Dragon Wyrmling,4.0,17,75,0.1,1,6,9,219.0,21653.0,230.0
236,Reef Shark,0.5,12,22,1.13,1,4,6,103.0,10207.0,98.0
237,Remorhaz,11.0,17,195,1.13,1,11,50,302.0,30070.0,296.0
238,Rhinoceros,2.0,11,45,-1.8,1,7,14,189.0,19068.0,172.0
239,Riding Horse,0.25,10,13,0.1,1,5,8,85.0,8657.0,71.0
240,Roc,11.0,15,248,0.1,2,5,8,271.0,26964.0,255.0
241,Roper,5.0,20,93,-1.8,1,5,8,232.0,23294.0,267.0
242,Rug of Smothering,2.0,12,33,2.14,1,0,0,0.0,0.0,0.0
243,Rust Monster,0.5,14,27,1.12,1,3,5,107.0,10470.0,113.0
244,Saber-Toothed Tiger,2.0,12,52,2.14,1,6,12,191.0,19079.0,179.0
245,Sahuagin,0.5,12,22,0.11,2,6,12,181.0,18053.0,139.0
246,Salamander,5.0,15,90,2.14,2,6,12,254.0,25155.0,238.0
247,Satyr,0.5,14,31,3.16,1,5,6,134.0,13336.0,129.0
248,Scorpion,0.0,11,1,0.11,1,2,1,4.0,602.0,2.0
249,Scout,0.5,13,16,2.14,2,2,1,39.0,4177.0,35.0
250,Sea Hag,2.0,14,52,1.13,1,5,10,186.0,18542.0,187.0
251,Sea Horse,0.0,11,1,1.12,1,5,10,20.0,2987.0,28.0
252,Shadow,0.5,12,16,2.14,1,4,9,109.0,10462.0,103.0
253,Shambling Mound,5.0,15,136,-1.8,2,4,9,250.0,24861.0,243.0
254,Shield Guardian,7.0,17,142,-1.8,2,4,9,260.0,25785.0,251.0
255,Shrieker,0.0,5,13,-5.1,1,4,9,72.0,7005.0,54.0
256,Silver Dragon Wyrmling,2.0,17,45,0.1,1,6,9,201.0,19426.0,206.0
257,Skeleton,0.25,13,13,2.14,1,4,5,74.0,7378.0,71.0
258,Solar,21.0,21,243,6.22,2,4,5,269.0,26796.0,284.0
259,Specter,1.0,12,22,2.14,1,4,10,132.0,12735.0,126.0
260,Spider,0.0,12,1,2.14,1,4,1,9.0,863.0,4.0
261,Spirit Naga,8.0,15,75,3.17,1,7,7,205.0,20095.0,196.0
262,Sprite,0.25,15,2,4.18,1,2,1,16.0,1543.0,18.0
263,Spy,1.0,12,27,2.15,2,2,1,52.0,5416.0,39.0
264,Steam Mephit,0.25,10,21,0.11,1,2,2,43.0,4264.0,42.0
265,Stirge,0.125,14,2,3.16,1,5,5,34.0,3499.0,32.0
266,Stone Giant,7.0,17,126,2.15,2,5,5,235.0,23510.0,235.0
267,Stone Golem,10.0,17,178,-1.9,2,5,5,247.0,24873.0,245.0
268,Storm Giant,13.0,16,230,2.14,2,5,5,257.0,25483.0,243.0
269,Succubus/Incubus,4.0,15,66,3.17,1,5,6,178.0,17624.0,181.0
270,Swarm of Bats,0.25,12,22,2.15,1,4,5,94.0,9374.0,92.0
271,Swarm of Beetles,0.5,12,22,1.13,1,3,10,124.0,12094.0,125.0
272,Swarm of Centipedes,0.5,12,22,1.13,1,3,10,121.0,12120.0,124.0
273,Swarm of Insects,0.5,12,22,1.13,1,3,10,122.0,12149.0,123.0
274,Swarm of Poisonous Snakes,2.0,14,36,4.18,1,6,7,152.0,15169.0,146.0
275,Swarm of Quippers,1.0,13,28,3.16,1,5,14,164.0,16493.0,159.0
276,Swarm of Rats,0.25,10,24,0.11,1,2,7,92.0,9263.0,99.0
277,Swarm of Ravens,0.25,12,24,2.14,1,4,7,109.0,10994.0,107.0
278,Swarm of Spiders,0.5,12,22,1.13,1,3,10,124.0,12152.0,122.0
279,Swarm of Wasps,0.5,12,22,1.13,1,3,10,127.0,12183.0,121.0
280,Tarrasque,30.0,25,676,0.11,5,19,30,323.0,32300.0,316.0
281,Thug,0.5,11,32,0.11,2,3,10,175.0,17313.0,141.0
282,Tiger,1.0,12,37,2.15,1,0,7,114.0,11363.0,136.0
283,Treant,9.0,16,138,-1.8,2,0,7,226.0,22454.0,237.0
284,Tribal Warrior,0.125,12,11,0.11,1,3,4,48.0,5143.0,47.0
285,Triceratops,5.0,13,95,-1.9,1,9,22,252.0,25202.0,236.0
286,Troll,5.0,15,84,1.13,3,9,22,284.0,28393.0,249.0
287,Tyrannosaurus Rex,8.0,13,136,0.1,2,9,22,285.0,28376.0,245.0
288,Unicorn,5.0,12,67,2.14,2,9,22,266.0,26484.0,222.0
289,Vampire,13.0,16,144,4.18,1,9,7,238.0,23630.0,231.0
290,Vampire Spawn,5.0,15,82,3.16,2,9,7,237.0,23759.0,206.0
291,Veteran,3.0,17,58,1.13,2,9,7,231.0,23188.0,211.0
292,Violet Fungus,0.25,5,18,-5.1,2,9,7,118.0,11985.0,60.0
293,Vrock,6.0,15,104,2.15,2,9,7,246.0,24591.0,212.0
294,Vulture,0.0,10,5,0.1,1,2,2,24.0,2442.0,23.0
295,Warhorse,0.5,11,19,1.12,1,6,11,132.0,12880.0,114.0
296,Warhorse Skeleton,0.5,13,22,1.12,1,6,11,145.0,14672.0,136.0
297,Water Elemental,5.0,14,114,2.14,2,7,13,265.0,26443.0,230.0
298,Weasel,0.0,13,1,3.16,1,5,1,10.0,988.0,7.0
299,Werebear,5.0,10,135,0.1,2,5,1,137.0,13574.0,90.0
300,Wereboar,4.0,10,78,0.1,1,5,10,195.0,19066.0,177.0
301,Wererat,2.0,12,33,2.15,1,4,5,111.0,11154.0,110.0
302,Weretiger,4.0,12,120,2.15,1,5,6,200.0,19540.0,190.0
303,Werewolf,3.0,11,58,1.13,1,4,5,139.0,13719.0,134.0
304,White Dragon Wyrmling,2.0,16,32,0.1,1,4,7,147.0,14727.0,156.0
305,Wight,3.0,14,45,2.14,2,4,7,194.0,19154.0,153.0
306,Will-o'-Wisp,2.0,19,22,9.28,1,4,9,167.0,16681.0,219.0
307,Winter Wolf,3.0,13,75,1.13,1,6,11,211.0,20891.0,201.0
308,Wolf,0.25,13,11,2.15,1,4,7,84.0,8224.0,78.0
309,Worg,0.5,13,26,1.13,1,5,10,142.0,14181.0,141.0
310,Wraith,5.0,13,67,3.16,1,6,21,232.0,23075.0,220.0
311,Wyvern,6.0,13,110,0.1,2,6,11,250.0,24872.0,211.0
312,Xorn,5.0,19,73,0.1,3,6,21,285.0,28394.0,284.0
313,Young Black Dragon,7.0,18,127,2.14,3,7,12,283.0,28348.0,271.0
314,Young Blue Dragon,9.0,18,152,0.1,3,9,13,292.0,29086.0,276.0
315,Young Brass Dragon,6.0,17,110,0.1,3,7,12,278.0,27762.0,249.0
316,Young Bronze Dragon,8.0,18,142,0.1,3,8,13,289.0,28835.0,271.0
317,Young Copper Dragon,7.0,17,119,1.12,3,7,12,279.0,28001.0,248.0
318,Young Gold Dragon,10.0,18,178,2.14,3,10,14,296.0,29651.0,277.0
319,Young Green Dragon,8.0,18,136,1.12,3,6,15,288.0,28713.0,271.0
320,Young Red Dragon,10.0,18,178,0.1,3,10,14,297.0,29622.0,275.0
321,Young Silver Dragon,9.0,18,168,0.1,3,10,14,294.0,29464.0,274.0
322,Young White Dragon,6.0,17,133,0.1,3,7,12,283.0,28270.0,252.0
323,Zombie,0.25,8,22,-2.6,1,3,4,62.0,6387.0,57.0
