,name,cr,ac,hp,init,att_num,hit_mod,dam_avg,match_wins,round_wins,calc_wins
30,,0.0,16,774,-4,1,9,41,59.0,5855.0,63.0
31,,0.0,15,27,0,1,6,55,5.0,575.0,7.0
32,,0.0,18,632,1,2,9,4,19.0,1947.0,37.0
33,,0.0,21,642,-5,4,12,23,91.0,9080.0,85.0
34,,0.0,15,190,3,2,3,53,32.0,3213.0,45.0
35,,0.0,16,402,-2,5,5,16,46.0,4877.0,50.0
36,,0.0,16,793,-4,2,8,48,81.0,8094.0,78.0
37,,0.0,19,341,0,5,3,54,78.0,7751.0,84.0
38,,0.0,17,417,-5,4,8,24,65.0,6508.0,57.0
39,,0.0,19,225,1,3,10,27,54.0,5409.0,71.0
40,,0.0,19,699,-1,3,6,20,70.0,6865.0,80.0
41,,0.0,13,537,3,1,6,18,20.0,2071.0,23.0
42,,0.0,13,432,-4,5,11,11,46.0,4747.0,36.0
43,,0.0,20,212,-1,3,11,43,73.0,7110.0,76.0
44,,0.0,20,355,-2,3,10,11,42.0,4322.0,54.0
45,,0.0,17,687,4,3,8,3,21.0,2049.0,27.0
46,,0.0,14,663,-3,5,8,41,93.0,9119.0,67.0
47,,0.0,19,748,3,3,5,56,91.0,9123.0,96.0
48,,0.0,18,350,5,2,13,44,73.0,7342.0,62.0
49,,0.0,14,129,3,1,4,19,8.0,776.0,10.0
50,,0.0,17,710,-1,5,3,46,86.0,8605.0,73.0
51,,0.0,16,187,2,1,3,8,6.0,562.0,9.0
52,,0.0,18,584,-1,4,3,37,75.0,7376.0,72.0
53,,0.0,15,369,5,1,14,40,45.0,4501.0,40.0
54,,0.0,19,273,2,4,12,58,92.0,9066.0,76.0
55,,0.0,18,130,4,1,11,4,4.0,428.0,6.0
56,,0.0,21,489,-3,3,6,37,79.0,7772.0,75.0
57,,0.0,16,489,-5,4,10,2,16.0,1603.0,7.0
58,,0.0,15,710,1,1,14,38,63.0,6246.0,52.0
59,,0.0,13,226,1,3,13,43,59.0,5914.0,35.0
60,,0.0,17,498,-5,3,4,11,34.0,3320.0,38.0
61,,0.0,20,662,2,5,5,23,84.0,8335.0,73.0
62,,0.0,17,634,2,2,10,26,67.0,6603.0,55.0
63,,0.0,21,381,-4,5,4,2,14.0,1391.0,31.0
64,,0.0,18,583,-1,4,7,52,94.0,9229.0,71.0
65,,0.0,16,466,4,1,9,14,22.0,2147.0,24.0
66,,0.0,16,217,-2,1,10,51,36.0,3498.0,35.0
67,,0.0,16,518,-5,1,12,14,28.0,2831.0,26.0
68,,0.0,14,551,-1,3,11,54,89.0,8735.0,52.0
69,,0.0,21,443,-1,4,12,41,97.0,9452.0,72.0
70,,0.0,17,95,3,5,11,36,47.0,4924.0,29.0
71,,0.0,18,520,2,1,11,8,17.0,1846.0,28.0
72,,0.0,17,269,-4,1,4,12,11.0,1056.0,13.0
73,,0.0,16,358,0,5,3,35,60.0,6007.0,41.0
74,,0.0,16,410,4,5,4,22,57.0,5555.0,35.0
75,,0.0,20,806,4,4,11,32,98.0,9784.0,80.0
76,,0.0,14,279,-4,2,5,24,24.0,2627.0,21.0
77,,0.0,21,71,-5,4,11,20,31.0,3106.0,25.0
78,,0.0,19,484,-2,3,11,46,90.0,9013.0,76.0
79,,0.0,20,114,0,1,6,21,13.0,1238.0,30.0
80,,0.0,16,395,3,1,14,3,9.0,900.0,7.0
81,,0.0,16,52,0,1,5,3,0.0,0.0,0.0
82,,0.0,18,416,2,3,8,7,32.0,3085.0,23.0
83,,0.0,18,323,-5,1,7,8,12.0,1225.0,16.0
84,,0.0,14,467,-5,1,13,50,54.0,5237.0,37.0
85,,0.0,16,697,1,2,8,39,74.0,7252.0,52.0
86,,0.0,16,13,0,2,13,27,5.0,635.0,3.0
87,,0.0,18,779,0,4,10,52,99.0,9854.0,73.0
88,,0.0,19,85,3,1,4,3,1.0,104.0,4.0
89,,0.0,13,10,5,2,9,38,6.0,600.0,2.0
90,,0.0,21,493,3,5,7,3,29.0,3013.0,21.0
91,,0.0,19,517,-1,1,9,33,48.0,4808.0,68.0
92,,0.0,20,292,3,5,5,26,68.0,6576.0,52.0
93,,0.0,16,238,4,1,12,48,39.0,3861.0,31.0
94,,0.0,16,367,-3,5,3,25,52.0,5097.0,27.0
95,,0.0,15,201,5,2,4,45,32.0,3219.0,22.0
96,,0.0,13,385,-1,4,9,21,52.0,5352.0,15.0
97,,0.0,13,227,0,1,7,35,18.0,1912.0,14.0
98,,0.0,14,91,0,1,7,7,2.0,253.0,1.0
99,,0.0,20,582,-5,4,11,26,89.0,8992.0,63.0
