,name,cr,ac,hp,init,att_num,hit_mod,dam_avg,pair_wins,total_wins
146,Gladiator,5.0,16,112,2.15,3,4,7,257.0,257.0
147,Gnoll,0.5,15,22,1.12,1,4,5,106.0,106.0
148,Goat,0.0,10,4,0.1,1,3,3,25.0,25.0
149,Goblin,0.25,15,7,2.14,1,4,5,57.0,57.0
150,Gold Dragon Wyrmling,3.0,17,60,2.14,1,6,9,211.0,211.0
151,Gorgon,5.0,19,114,0.11,1,8,16,272.0,272.0
152,Gray Ooze,0.5,8,22,-2.6,1,3,4,61.0,61.0
153,Green Dragon Wyrmling,2.0,17,38,1.12,1,4,7,162.0,162.0
154,Green Hag,3.0,17,82,1.12,1,6,13,239.0,239.0
155,Grick,2.0,14,27,2.14,1,6,13,167.0,167.0
156,Griffon,2.0,12,59,2.15,2,6,13,234.0,234.0
157,Grimlock,0.25,11,11,1.12,1,5,5,66.0,66.0
158,Guard,0.125,16,11,1.12,1,3,4,73.0,73.0
159,Guardian Naga,10.0,18,127,4.18,1,8,8,249.0,249.0
160,Gynosphinx,11.0,17,136,2.15,2,8,8,268.0,268.0
161,Half-Red Dragon Veteran,5.0,18,65,1.13,2,8,8,248.0,248.0
162,Harpy,1.0,11,38,1.13,2,8,8,193.0,193.0
163,Hawk,0.0,13,1,3.16,1,5,1,8.0,8.0
164,Hell Hound,3.0,15,45,1.12,1,5,7,166.0,166.0
165,Hezrou,8.0,16,136,3.17,3,5,7,264.0,264.0
166,Hill Giant,5.0,13,105,-1.8,2,5,7,236.0,236.0
167,Hippogriff,1.0,11,19,1.13,2,5,7,141.0,141.0
168,Hobgoblin,0.5,18,11,1.12,1,3,5,95.0,95.0
169,Homunculus,0.0,13,5,2.15,1,4,1,24.0,24.0
170,Horned Devil,11.0,18,148,3.17,3,4,1,204.0,204.0
171,Hunter Shark,2.0,12,45,1.13,1,6,13,192.0,192.0
172,Hydra,8.0,15,172,1.12,5,6,13,305.0,305.0
173,Hyena,0.0,11,5,1.13,1,6,13,76.0,76.0
174,Ice Devil,14.0,18,180,2.14,3,6,13,299.0,299.0
175,Ice Mephit,0.5,11,21,1.13,1,3,3,60.0,60.0
176,Imp,1.0,13,10,3.17,1,5,5,65.0,65.0
177,Invisible Stalker,6.0,14,104,4.19,2,5,5,221.0,221.0
178,Iron Golem,16.0,20,210,-1.9,2,5,5,269.0,269.0
179,Jackal,0.0,12,3,2.15,1,1,1,17.0,17.0
180,Killer Whale,3.0,12,90,0.1,1,0,21,211.0,211.0
181,Knight,3.0,18,52,0.11,2,0,21,239.0,239.0
182,Kobold,0.125,12,5,2.15,1,4,4,36.0,36.0
183,Kraken,23.0,18,472,0.11,3,4,4,283.0,283.0
184,Lamia,4.0,13,97,1.13,2,4,4,202.0,202.0
185,Lemure,0.0,7,13,-3.5,1,3,2,33.0,33.0
186,Lich,21.0,17,135,3.16,1,12,10,265.0,265.0
187,Lion,1.0,12,26,2.15,1,5,6,117.0,117.0
188,Lizard,0.0,10,2,0.11,1,0,1,10.0,10.0
189,Lizardfolk,0.5,15,22,0.1,2,0,1,50.0,50.0
190,Mage,6.0,12,40,2.14,1,5,4,116.0,116.0
191,Magma Mephit,0.5,11,22,1.12,1,3,3,63.0,63.0
192,Magmin,0.5,14,9,2.15,1,4,7,78.0,78.0
193,Mammoth,6.0,13,126,-1.9,1,10,29,275.0,275.0
194,Manticore,3.0,14,68,3.16,3,10,29,296.0,296.0
195,Marilith,16.0,18,189,5.2,7,10,29,324.0,324.0
196,Mastiff,0.125,12,5,2.14,1,3,4,35.0,35.0
197,Medusa,6.0,15,127,2.15,3,3,4,237.0,237.0
198,Merfolk,0.125,11,11,1.13,1,2,3,41.0,41.0
199,Merrow,2.0,13,45,0.1,2,2,3,129.0,129.0
200,Mimic,2.0,12,58,1.12,1,5,7,159.0,159.0
201,Minotaur,3.0,14,76,0.11,1,6,13,223.0,223.0
202,Minotaur Skeleton,2.0,12,67,0.11,1,6,13,212.0,212.0
203,Mule,0.125,10,11,0.1,1,4,4,46.0,46.0
204,Mummy,3.0,11,58,-1.8,1,4,4,128.0,128.0
205,Mummy Lord,15.0,17,97,0.1,1,4,4,185.0,185.0
206,Nalfeshnee,13.0,18,184,0.1,3,4,4,262.0,262.0
207,Night Hag,5.0,17,112,2.15,1,7,13,255.0,255.0
208,Nightmare,3.0,13,68,2.15,1,6,13,221.0,221.0
209,Noble,0.125,15,9,1.12,1,3,5,65.0,65.0
210,Ochre Jelly,2.0,8,45,-2.6,1,4,9,144.0,144.0
211,Octopus,0.0,12,3,2.15,1,4,1,18.0,18.0
212,Ogre,2.0,11,59,-1.8,1,6,11,187.0,187.0
213,Ogre Zombie,2.0,8,85,-2.6,1,6,13,212.0,212.0
214,Oni,7.0,16,110,0.11,2,6,13,270.0,270.0
215,Orc,0.5,13,15,1.12,1,5,6,85.0,85.0
216,Otyugh,5.0,14,114,0.11,3,5,6,246.0,246.0
217,Owl,0.0,11,1,1.13,1,3,1,7.0,7.0
218,Owlbear,3.0,13,59,1.12,2,3,1,98.0,98.0
219,Panther,0.25,12,13,2.15,1,4,4,63.0,63.0
220,Pegasus,2.0,12,59,2.15,1,6,11,188.0,188.0
221,Phase Spider,3.0,13,32,2.15,1,4,7,127.0,127.0
222,Pit Fiend,20.0,19,300,2.14,4,4,7,299.0,299.0
223,Planetar,16.0,19,200,5.2,2,4,7,272.0,272.0
224,Plesiosaurus,2.0,13,68,2.15,1,6,14,216.0,216.0
225,Poisonous Snake,0.125,13,2,3.16,1,5,1,15.0,15.0
226,Polar Bear,2.0,12,42,0.1,2,5,1,84.0,84.0
227,Pony,0.125,10,11,0.1,1,4,7,63.0,63.0
228,Priest,2.0,13,27,0.1,1,2,3,73.0,73.0
229,Pseudodragon,0.25,13,7,2.15,1,4,4,45.0,45.0
230,Purple Worm,15.0,18,247,-2.7,2,4,4,259.0,259.0
231,Quasit,1.0,13,7,3.17,1,4,5,51.0,51.0
232,Quipper,0.0,13,1,3.16,1,5,1,10.0,10.0
233,Rakshasa,13.0,16,110,3.17,2,5,1,155.0,155.0
234,Rat,0.0,10,1,0.11,1,0,1,7.0,7.0
235,Raven,0.0,12,1,2.14,1,0,1,8.0,8.0
236,Red Dragon Wyrmling,4.0,17,75,0.1,1,6,9,222.0,222.0
237,Reef Shark,0.5,12,22,1.13,1,4,6,102.0,102.0
238,Remorhaz,11.0,17,195,1.13,1,11,40,310.0,310.0
239,Rhinoceros,2.0,11,45,-1.8,1,7,14,199.0,199.0
240,Riding Horse,0.25,10,13,0.1,1,5,8,84.0,84.0
241,Roc,11.0,15,248,0.1,2,5,8,276.0,276.0
242,Roper,5.0,20,93,-1.8,1,5,8,242.0,242.0
243,Rug of Smothering,2.0,12,33,2.14,1,0,0,0.0,0.0
244,Rust Monster,0.5,14,27,1.12,1,3,5,106.0,106.0
245,Saber-Toothed Tiger,2.0,12,52,2.14,1,6,12,193.0,193.0
246,Sahuagin,0.5,12,22,0.11,2,6,12,185.0,185.0
247,Salamander,5.0,15,90,2.14,2,6,12,258.0,258.0
248,Satyr,0.5,14,31,3.16,1,5,6,136.0,136.0
249,Scorpion,0.0,11,1,0.11,1,2,1,6.0,6.0
250,Scout,0.5,13,16,2.14,2,2,1,44.0,44.0
251,Sea Hag,2.0,14,52,1.13,1,5,10,186.0,186.0
252,Sea Horse,0.0,11,1,1.12,1,5,10,22.0,22.0
253,Shadow,0.5,12,16,2.14,1,4,9,112.0,112.0
254,Shambling Mound,5.0,15,136,-1.8,2,4,9,252.0,252.0
255,Shield Guardian,7.0,17,142,-1.8,2,4,9,267.0,267.0
256,Shrieker,0.0,5,13,-5.1,1,4,9,66.0,66.0
257,Silver Dragon Wyrmling,2.0,17,45,0.1,1,6,9,193.0,193.0
258,Skeleton,0.25,13,13,2.14,1,4,5,68.0,68.0
259,Solar,21.0,21,243,6.22,2,4,5,277.0,277.0
260,Specter,1.0,12,22,2.14,1,4,10,130.0,130.0
261,Spider,0.0,12,1,2.14,1,4,1,5.0,5.0
262,Spirit Naga,8.0,15,75,3.17,1,7,7,205.0,205.0
263,Sprite,0.25,15,2,4.18,1,2,1,15.0,15.0
264,Spy,1.0,12,27,2.15,2,2,1,58.0,58.0
265,Steam Mephit,0.25,10,21,0.11,1,2,2,44.0,44.0
266,Stirge,0.125,14,2,3.16,1,5,5,36.0,36.0
267,Stone Giant,7.0,17,126,2.15,2,5,5,241.0,241.0
268,Stone Golem,10.0,17,178,-1.9,2,5,5,257.0,257.0
269,Storm Giant,13.0,16,230,2.14,2,5,5,261.0,261.0
270,Succubus/Incubus,4.0,15,66,3.17,1,5,6,179.0,179.0
271,Swarm of Bats,0.25,12,22,2.15,1,4,5,89.0,89.0
272,Swarm of Beetles,0.5,12,22,1.13,1,3,10,130.0,130.0
273,Swarm of Centipedes,0.5,12,22,1.13,1,3,10,122.0,122.0
274,Swarm of Insects,0.5,12,22,1.13,1,3,10,130.0,130.0
275,Swarm of Poisonous Snakes,2.0,14,36,4.18,1,6,7,150.0,150.0
276,Swarm of Quippers,1.0,13,28,3.16,1,5,14,170.0,170.0
277,Swarm of Rats,0.25,10,24,0.11,1,2,7,89.0,89.0
278,Swarm of Ravens,0.25,12,24,2.14,1,4,7,114.0,114.0
279,Swarm of Spiders,0.5,12,22,1.13,1,3,10,124.0,124.0
280,Swarm of Wasps,0.5,12,22,1.13,1,3,10,119.0,119.0
281,Tarrasque,30.0,25,676,0.11,5,3,10,323.0,323.0
282,Thug,0.5,11,32,0.11,2,3,10,180.0,180.0
283,Tiger,1.0,12,37,2.15,1,0,7,112.0,112.0
284,Treant,9.0,16,138,-1.8,2,0,7,235.0,235.0
285,Tribal Warrior,0.125,12,11,0.11,1,3,4,50.0,50.0
286,Triceratops,5.0,13,95,-1.9,1,9,22,253.0,253.0
287,Troll,5.0,15,84,1.13,3,9,22,288.0,288.0
288,Tyrannosaurus Rex,8.0,13,136,0.1,2,9,22,289.0,289.0
289,Unicorn,5.0,12,67,2.14,2,9,22,269.0,269.0
290,Vampire,13.0,16,144,4.18,1,9,7,244.0,244.0
291,Vampire Spawn,5.0,15,82,3.16,2,9,7,241.0,241.0
292,Veteran,3.0,17,58,1.13,2,9,7,236.0,236.0
293,Violet Fungus,0.25,5,18,-5.1,2,9,7,123.0,123.0
294,Vrock,6.0,15,104,2.15,2,9,7,252.0,252.0
295,Vulture,0.0,10,5,0.1,1,2,2,25.0,25.0
296,Warhorse,0.5,11,19,1.12,1,6,11,128.0,128.0
297,Warhorse Skeleton,0.5,13,22,1.12,1,6,11,152.0,152.0
298,Water Elemental,5.0,14,114,2.14,2,6,11,258.0,258.0
299,Weasel,0.0,13,1,3.16,1,5,1,10.0,10.0
300,Werebear,5.0,10,135,0.1,2,5,1,138.0,138.0
301,Wereboar,4.0,10,78,0.1,1,5,10,194.0,194.0
302,Wererat,2.0,12,33,2.15,1,4,5,114.0,114.0
303,Weretiger,4.0,12,120,2.15,1,5,6,199.0,199.0
304,Werewolf,3.0,11,58,1.13,1,4,5,140.0,140.0
305,White Dragon Wyrmling,2.0,16,32,0.1,1,4,7,146.0,146.0
306,Wight,3.0,14,45,2.14,2,4,7,201.0,201.0
307,Will-o'-Wisp,2.0,19,22,9.28,1,4,9,171.0,171.0
308,Winter Wolf,3.0,13,75,1.13,1,6,11,211.0,211.0
309,Wolf,0.25,13,11,2.15,1,4,7,83.0,83.0
310,Worg,0.5,13,26,1.13,1,5,10,143.0,143.0
311,Wraith,5.0,13,67,3.16,1,6,21,242.0,242.0
312,Wyvern,6.0,13,110,0.1,2,6,11,253.0,253.0
313,Xorn,5.0,19,73,0.1,3,6,21,292.0,292.0
314,Young Black Dragon,7.0,18,127,2.14,3,6,15,289.0,289.0
315,Young Blue Dragon,9.0,18,152,0.1,3,6,16,294.0,294.0
316,Young Brass Dragon,6.0,17,110,0.1,3,6,11,277.0,277.0
317,Young Bronze Dragon,8.0,18,142,0.1,3,6,16,298.0,298.0
318,Young Copper Dragon,7.0,17,119,1.12,3,6,15,287.0,287.0
319,Young Gold Dragon,10.0,18,178,2.14,3,6,17,305.0,305.0
320,Young Green Dragon,8.0,18,136,1.12,3,6,15,294.0,294.0
321,Young Red Dragon,10.0,18,178,0.1,3,6,17,308.0,308.0
322,Young Silver Dragon,9.0,18,168,0.1,3,6,17,305.0,305.0
323,Young White Dragon,6.0,17,133,0.1,3,6,15,293.0,293.0
324,Zombie,0.25,8,22,-2.6,1,3,4,61.0,61.0
